لری, فارسی
گاش د گور آو  , گاوش دو گوساله آورد
گاش گوره نی­له  , گاوش گوساله را نمی­پذیرد
همیشه نه گامیرونه, همیشه گاو میران نیست
گپ من دلش جا نداره, گپ در دلش جا ندارد
و گپ کم نی­یاره   , در گپ زدن کم نمی­آورد
گپ گپ ای­یاره , گپ گپ می­آورد 
گپ گپو ای­زنه  , گپ گنده می­زند
گپ گپو مزن  , گپ گنده نزن
سیش گپ زه  , برای او گپ زد
برد گپو نشونی نزدنه , سنگ بزرگ نشانه­ی نزدن است
گچ گچی وابیدن  , گچ گچی شدن
سواره گدی ای­کنه , سواره گدایی می­کند
خت غریب گدارت غریبه, خودت غریب و گذارت هم غریب است
گذشت کُ  , گذشت کن
گر ای­گره  , گر می­گیرد
پهنه دا و دهس گربه , . پیه را به دست گربه داد
گردش که  , آن را گرد کرد
گردن بارش وابی  , گردن بارش شد
گردنمه بشکن , گردنم را بشکن 
نرخمه نشکن  , نرخم را نشکن
گردنش خرد وابو  , گردنش خرد شود
گردنشه تور نی زنه, گردنش را تبر نمی­زند
و گردن گرهتن  , به گردن گرفتن
و گردن زدن  , به گردن زدن
و گردن داشتن  , به گردن داشتن
گرده­نه نیخم , گرده را نمی­خواهم 
او دونه ای­خم, آبدان را می­خواهم
گردم درد ای کنه  , nan
حرف گرم و نرم ای­زنه , حرف گرم و نرم می­زند
گرم گرهتن  , گرم گرفتن
تاگرمه بخرش , تا گرم است آن را بخور
و گرو بگرم, مرا گرو بگیر
گروگون گرهتن  , گروگان گرفتن
گرون وابیدن  , گران شدن
گرون کردن  , گران کردن
ظلمش گرونه  , ظلم او سنگین است
گرون تموم وابیدن , گران تمام شدن 
یه گری برفی انداخت  ,  یک گلوله­ی برفی انداخت
یه گری شلی انداخت , یک گلوله­ی شلی انداخت
گیره من کارش افتاده ,  گیر در کارش افتاده است
تا منه دید گرهت  , تا مرا دید گریخت
گریبون گرهتن  , گریبان گرفتن
گریبون گیرم وابی  , گریبان گیرم شد
گسنه وابیدن  , گرسنه شدن
گسیخته وابیدن  , گسیخته شدن
رهته و گشتن  , به گردش رفته است
تر خر کی ای گردی , دنبال خر  کی می گردی
ول ای­گرده  , ول می­گردد
خدا یکینه ای­کشه , خدا یکی را می­کشد 
بخت دتانه ای­گشه, بخت دو تا را می­گشايد
ار بتری  گفتری , : اگر بتوانی بزرگ­تر هستی 
گفتری کُ  , بزرگ­تری کن
گفتر ی کردن , بزرگ تری کردن 
گل دم او دادن  , گل به آب دادن
گل و او دادن  , گل به آب دادن
جگرش گل زده  , جگرش گل زده است
دَهسه گلاتش کشی  , دست به کاکلش کشید
قضاته من گلاتم, قضای تو به سرم بخورد
گلپش با کرده , لپش باد کرده است
یه گلپ او خه  , یک قلپ آب خورد
گلونه هر طور بندازی سر چارچنگ ای­یا و زیر  , گربه را هر طور بیندازی روی چهارپنجه پایین می­آید
گلو مامن وابیده  , گربه مؤمن شده است
گلوپه برکه  , لامپ را روشن کن
ای گلوپ سهته  , این لامپ سوخته است
گلی ای­کنه  , گله می­کند
گلی کردن  , گله کردن
گلی گزاری کردن , گله گزاری کردن
گله وش بزنی خین وش در نی­یا , گلوله به او بزنی خون از زخمش در نمی­آید
گله اومه من قاش  , گله وارد آغل شد
گله و گله وابیدن ,  گله به گله شدن
گله رم که , گله رم کرد 
گلیش افتاده  , گلویش افتاده است
گلیش گرهته  , گلویش گرفته است
گلیش تیش گیر کرده , گلویش پیش او گیر کرده است
گلیمشه و او ای­کشه , گلیمش را از آب می­کشد
گمش که  , گمش کرد
گم گور وابی  , گم و گور شد
گم وابیدن  , گم شدن
گمبدش بلنده  , گنبدش بلند است
دم گمبویی­یه  , آدم کثیفی است
دهسش گمبویه  , دستش کثیف است
گمون کردن  , گمان کردن
گناشه ای­شوره  , گناهش را می­شوید
مه سر گنج نشهسمه , مگر سر گنج نشسته­ام
گنجایش نداره , گنجایش ندارد 
وسایله بنه من گنجه , وسایل را درگنجه بگذار
گند چی نیده  , گند چیزی ندیده
گندت بزنه  , گندت بزند
گنگ وابیدن  , گنگ شدن
گنگ وابی  , گنگ شد
ای گو و ای میدون, این گوی و این میدان
خدا گوی حقه  , خدا گواه حق است
خدا گوی بده  , خدا گواهی بدهد
زخمش وی گوالی­یه , زخمش به این عمیقی است
سمی زمین وی گوالی­یه , سوراخ زمین به این عمیقی است
گوال وابیدن  , عمیق شدن
گوال وابیده  , عمیق شده است
گوبار وابیدن  , گلاویز شدن
وَ یک گوبار وابیدن ,  با هم درگیر شدند
گوره وابیدن  , بسیار پیر شدن
ای خر گوره­یه  , : این خر بسیار پیر است
گور و گور وابیدن , گور به گور شدن
گور خته کندی  , گور خودت را کندی
ای انگیر هلا گوره يه, این انگور هنوز غوره است
زه من گوزک پاش  , به قوزک پایش زد
آدم گوشی­یه  , آدم گوشی است
گوشش بده­کار نی  , گوشش بده­کار نیست
گوشش وی گهپل پره , گوشش از این حرف­ها پر است
گوشه کنايه ای­زنه  , گوشه و کنایه می­زند
گول خردن  ,  گول خوردن
گول زدن  , گول زدن
گا گداری ای کاره ای­کنه , گاه گداری این کار را می­کند
گی خشخاش خرده  , گاو خشخاش خورده
مث گی خشخاش خرده­یه , مانند گاو خشخاش خورده است
گیج وابیدن  , گیج شدن
گیج خردن  , گیج خوردن
آدم گیجی­یه  , آدم گیجی است
ای چو گیجه  , این چوب گیج است
گهری او زدنشه  , نوبت آبیاری اش است
دهس گرش که  , . از او دست گیری کرد
گیر افتا من کارش  , در کارش گرهی ایجاد شد
دهسم وگیره  , : دستم گیر است
گیر افتادن  , گیر افتادن
زونش گیر داره  , زبانش گیر دارد
زونش ای­گره  , زبانش می­گیرد
جلو رَهنه ای گره  , جلو رَهنه ای گره  
گیوی مردینه ورکشی, گیوه­ی مردی را به پا کرد
من لی در سیل که, در لای در نگاه کرد
لابد ای کاره کرده  , لابد این کار را کرده است
لاپورد کردن  , : راپورت کردن
لاپورد دادن  , راپورت دادن
لازم وابیدن  , : لازم شدن
لازمه, لازم است
لال وابیدن  , لال شدن
لال بازی دراوردن  , لال بازی درآوردن
ای کارَه چه لامذهبی کرده , این کار را کدام لامذهب کرده است
لامکون بیدن  , لامکان بودن
آدم لامروتی­یه  , آدم لامروّتی است
لایق وابیدن  ,  لایق شدن
گوشت ای میش لبه  , گوشت این گوسفند زیاد است
ثمر ای دار لبه  , ثمر این درخت زیاد است
لباسش که  , او را لباس کرد
دورشه لباس که  , دخترش را لباس کرد
لباس ای­کنه و وَر  , لباس به بر می­کند
چینه نها من لب تخت, چای را در لب تخت گذاشت
دلپی ای­جاهنه  , دو لپی می­جود
دلپی ای­خره  , دو لپی می­خورد
یه لت نونه خه , نصف نان را خورد
لت سیبه خَه  , نصف سیب را خورد
خدا دیده او لتینه که بره یله آبادی وَش و قهرن , خدا آن جالیزی را دیده است که بره­های آبادی با آن قهر هستند
آدم لجنی­یه, آدم لجنی است
لچارت نشون ای­ده  , بخیلی و خسيسی نشان می­دهد
لچه کهنه در بیابون نهمته, کفش کهنه در بیابان نعمت است
دهوا سر لحاف ملایه, دعوا سر لحاف ملا نصردینه
آدم لخی­یه  , : آدم سستی است
ای چو لخه  , این چوب سست است
لخت وابیدن  , لخت شدن
مردمه لخت که  , مردم را لخت کرد
ای تو لخته  , این اطاق لخت است
نونم چه طوری بلخشم که پسم نلرسه  , نمی­دانم چطوری بلرزم که باسنم نلرزد
ای گوشت لخمه  , این گوشت لقم است
لر هر چه بگُ و سرگذشتشه, لر هر چه بگوید سرگذشت او است
لرزش افتاده من جونش, لرز آن در جانش افتاده است
ترس من جونش افتا , ترس در جانش افتاد
تو لرز داره  , تب و لرز دارد.
تو لرز کردن  , تب و لرز کردن.
وَ خُش ای­لرسه  , برخود می­لرزد
لرکه زدن  , فریاد زدن، 
لرکه ای­زنه  , فریاد می­زند
لرکش بلند وابی  , فریادش بلند شد
لشت وابیدن  , بی حال شدن
لشت وابیده  , و بی حال شده است
